Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Logical quotient rating,coding skills rating,can work long time before system?,self-learning capability?,Interested subjects,Type of company want to settle in?,Management or Technical,Suggested Job Role
77,92,70,91,83,65,84,1,8,yes,no,Management,BPA,Management,Project Manager
60,85,74,91,66,86,79,1,7,no,yes,parallel computing,SAaS services,Management,Project Manager
91,94,76,84,65,71,72,2,2,yes,no,Management,Finance,Technical,Network Engineer
66,67,71,67,80,85,68,2,2,no,no,cloud computing,Product based,Management,Quality Assurance Associate
71,85,61,87,69,80,64,7,4,no,no,Management,Cloud Services,Technical,Applications Developer
82,69,71,80,72,94,60,2,8,no,yes,hacking,product development,Management,Technical Engineer
81,91,93,69,86,74,80,2,2,no,no,networks,BPA,Management,Network Security Administrator
73,60,94,70,88,80,94,8,7,yes,no,Management,Testing and Maintainance Services,Management,CRM Technical Developer
81,79,87,79,71,84,81,7,3,no,yes,Management,Service Based,Technical,E-Commerce Analyst
60,77,90,94,94,84,70,3,1,yes,no,parallel computing,Testing and Maintainance Services,Management,Software Quality Assurance (QA) / Testing
78,62,85,92,67,76,74,2,7,yes,yes,hacking,Cloud Services,Technical,Network Security Administrator
91,76,85,64,88,90,87,8,1,no,yes,networks,Finance,Management,Network Engineer
92,69,62,67,83,74,94,9,8,yes,yes,programming,SAaS services,Technical,Technical Engineer
81,64,61,82,76,71,73,7,1,no,no,parallel computing,Web Services,Management,Systems Security Administrator
78,90,65,84,82,75,76,2,5,no,yes,Computer Architecture,BPA,Management,Design & UX
83,67,76,86,85,68,89,8,8,yes,yes,Computer Architecture,Sales and Marketing,Management,Database Administrator
69,91,87,70,86,91,89,8,1,no,yes,parallel computing,Cloud Services,Management,Programmer Analyst
63,93,69,61,82,74,87,6,4,no,no,programming,SAaS services,Technical,Software Quality Assurance (QA) / Testing
77,86,67,84,90,77,93,6,4,no,yes,networks,Finance,Management,CRM Business Analyst
69,72,60,62,66,94,68,6,1,no,no,Management,Web Services,Technical,Database Manager
73,90,75,66,86,61,81,6,3,no,yes,hacking,product development,Management,Software Developer
65,73,66,77,61,92,72,4,7,yes,yes,Management,Product based,Management,Solutions Architect
77,70,87,80,70,86,93,8,7,no,no,Software Engineering,Product based,Management,Information Security Analyst
64,67,79,71,71,64,67,7,1,no,no,Software Engineering,Cloud Services,Management,Network Security Engineer
67,86,84,70,76,61,66,1,2,no,yes,programming,Service Based,Technical,Network Engineer
83,68,92,77,60,85,74,6,6,yes,no,Software Engineering,Finance,Technical,Technical Support
81,60,86,85,78,62,81,3,2,no,yes,Computer Architecture,Sales and Marketing,Management,Systems Analyst
88,76,66,84,61,65,61,7,3,no,yes,IOT,Service Based,Technical,Information Technology Auditor
72,76,78,91,72,62,64,7,4,yes,no,parallel computing,Service Based,Management,CRM Technical Developer
85,89,78,83,66,85,79,3,7,no,yes,Software Engineering,Sales and Marketing,Technical,Technical Services/Help Desk/Tech Support
90,80,80,62,81,68,60,9,1,yes,yes,cloud computing,SAaS services,Technical,Software Quality Assurance (QA) / Testing
69,82,79,79,93,74,94,7,3,yes,no,cloud computing,SAaS services,Management,Business Systems Analyst
66,93,73,82,70,74,90,2,6,no,no,hacking,BPA,Management,Technical Engineer
87,69,65,79,72,66,64,7,3,no,yes,Computer Architecture,SAaS services,Technical,Technical Support
83,74,60,88,86,63,89,3,5,no,no,Computer Architecture,Finance,Technical,Information Technology Auditor
60,82,79,84,80,81,73,9,6,yes,yes,parallel computing,Web Services,Technical,Network Security Administrator
71,93,70,64,69,60,73,1,6,no,yes,networks,Service Based,Management,Information Technology Manager
89,92,74,87,67,63,92,4,3,no,no,cloud computing,Cloud Services,Management,Web Developer
91,75,79,69,60,73,70,7,8,yes,yes,networks,SAaS services,Technical,Business Systems Analyst
61,65,75,88,72,60,68,6,2,no,no,Management,Sales and Marketing,Technical,Systems Analyst
83,68,60,88,81,62,67,5,5,yes,no,hacking,Product based,Technical,Web Developer
93,87,78,88,73,68,94,7,8,yes,no,Software Engineering,Finance,Management,Solutions Architect
66,88,71,65,78,84,65,3,1,no,no,cloud computing,Product based,Technical,UX Designer
65,79,64,84,79,74,76,7,3,no,yes,programming,Web Services,Technical,Network Engineer
83,84,82,60,88,93,92,2,9,yes,no,data engineering,product development,Technical,Applications Developer
91,83,62,89,87,94,84,8,1,no,yes,Management,Finance,Technical,Project Manager
84,67,93,64,76,62,81,3,8,no,no,hacking,Web Services,Management,UX Designer
90,74,80,69,70,70,93,1,7,yes,yes,data engineering,Product based,Technical,Database Administrator
79,80,66,73,87,87,60,1,1,no,yes,programming,Cloud Services,Management,Information Technology Auditor
82,79,76,70,66,65,89,2,1,yes,no,networks,product development,Management,Database Developer
77,92,64,67,82,81,94,2,7,yes,yes,hacking,BPA,Technical,Database Manager
94,85,68,74,60,72,67,7,9,no,yes,IOT,Sales and Marketing,Technical,Software Systems Engineer
86,89,67,74,73,74,81,5,9,no,yes,Computer Architecture,SAaS services,Management,UX Designer
63,87,86,92,70,84,63,3,1,no,yes,parallel computing,Web Services,Management,Solutions Architect
74,76,75,91,76,72,93,1,9,yes,no,programming,Sales and Marketing,Management,Project Manager
65,68,73,70,79,80,92,2,6,yes,no,parallel computing,SAaS services,Management,Network Engineer
92,81,75,77,74,63,94,8,6,yes,yes,cloud computing,Finance,Technical,E-Commerce Analyst
74,73,78,88,72,66,69,6,8,yes,yes,networks,Sales and Marketing,Management,Business Systems Analyst
85,88,64,78,82,71,65,8,7,no,yes,programming,Sales and Marketing,Management,E-Commerce Analyst
63,64,77,84,63,90,83,9,1,yes,yes,IOT,Finance,Technical,Systems Security Administrator
61,69,65,64,91,82,86,2,4,no,no,programming,SAaS services,Technical,Mobile Applications Developer
60,84,74,93,76,86,85,9,6,yes,no,networks,SAaS services,Management,Business Systems Analyst
92,89,79,85,71,72,86,4,8,yes,no,data engineering,Cloud Services,Technical,Quality Assurance Associate
76,63,62,86,87,89,92,2,7,yes,yes,Software Engineering,Finance,Management,Technical Engineer
87,94,90,84,74,85,85,9,2,yes,yes,parallel computing,Web Services,Management,Data Architect
67,87,75,76,83,74,83,3,5,yes,no,data engineering,Sales and Marketing,Technical,Software Quality Assurance (QA) / Testing
69,88,82,76,65,85,81,2,8,no,no,data engineering,Sales and Marketing,Management,CRM Technical Developer
72,63,80,65,89,92,74,3,4,yes,yes,networks,Product based,Management,Database Developer
88,68,84,83,87,73,60,7,3,yes,no,cloud computing,Cloud Services,Technical,Information Security Analyst
60,93,83,82,85,93,84,2,5,no,yes,Software Engineering,Testing and Maintainance Services,Technical,Software Systems Engineer
66,77,78,79,85,80,92,8,2,yes,yes,programming,BPA,Technical,Design & UX
64,63,84,93,92,77,82,6,6,yes,no,data engineering,Finance,Technical,Database Developer
74,71,63,73,72,77,61,1,4,yes,yes,programming,product development,Technical,Systems Analyst
90,89,81,86,79,82,88,4,9,no,yes,hacking,product development,Technical,Business Intelligence Analyst
62,71,78,87,74,93,77,9,1,yes,no,parallel computing,Finance,Management,Software Engineer
60,80,88,88,76,83,70,5,8,no,no,parallel computing,Service Based,Technical,Network Security Administrator
92,75,74,64,91,89,60,8,1,no,no,Computer Architecture,Product based,Technical,UX Designer
77,82,77,68,70,61,89,4,1,no,no,cloud computing,Web Services,Management,Information Security Analyst
76,65,84,75,85,90,73,8,6,yes,no,cloud computing,SAaS services,Management,Software Systems Engineer
71,75,76,77,71,82,65,3,6,no,yes,IOT,product development,Management,Network Engineer
69,63,74,77,63,73,77,9,3,yes,yes,programming,Finance,Management,Network Security Administrator
64,80,69,60,92,67,84,7,3,no,yes,programming,Testing and Maintainance Services,Management,Programmer Analyst
72,68,85,84,64,80,63,3,2,yes,no,cloud computing,Testing and Maintainance Services,Technical,Information Technology Manager
91,78,84,65,69,90,75,7,9,no,no,data engineering,Web Services,Management,Web Developer
62,88,76,82,90,87,78,8,4,no,yes,cloud computing,Finance,Management,Web Developer
61,90,65,71,66,90,60,1,2,no,no,Computer Architecture,Testing and Maintainance Services,Management,Portal Administrator
87,90,90,80,67,89,63,3,2,yes,no,programming,Web Services,Management,Solutions Architect
60,94,91,76,79,92,94,4,9,yes,yes,programming,Testing and Maintainance Services,Management,Portal Administrator
60,72,88,83,93,77,70,7,6,yes,no,IOT,Finance,Technical,Information Technology Manager
75,75,90,68,62,82,63,8,6,yes,no,Software Engineering,product development,Technical,Database Administrator
66,89,91,69,79,73,83,3,5,no,no,IOT,Testing and Maintainance Services,Technical,Software Developer
64,91,60,68,91,84,79,1,8,no,yes,programming,Sales and Marketing,Technical,Portal Administrator
80,63,78,78,71,64,64,2,3,no,no,networks,Testing and Maintainance Services,Management,Applications Developer
66,67,94,93,62,62,87,1,4,no,no,data engineering,SAaS services,Technical,Design & UX
85,81,85,88,64,76,88,2,6,yes,no,parallel computing,Cloud Services,Management,Network Security Engineer
84,92,64,76,86,63,68,7,4,yes,yes,programming,Sales and Marketing,Technical,Solutions Architect
74,80,83,79,89,79,71,8,8,yes,no,cloud computing,Testing and Maintainance Services,Management,Systems Analyst
61,74,93,84,79,66,80,9,8,yes,yes,parallel computing,Product based,Technical,UX Designer
64,81,78,92,72,82,70,5,6,no,no,cloud computing,SAaS services,Technical,CRM Technical Developer
79,70,91,84,66,67,69,8,9,no,yes,cloud computing,Finance,Management,Technical Support
85,92,61,93,74,91,68,1,7,yes,yes,programming,Testing and Maintainance Services,Technical,Information Technology Manager
94,69,81,79,90,78,88,2,7,yes,no,programming,BPA,Technical,Systems Security Administrator
88,67,68,72,73,68,87,4,2,yes,yes,Management,Web Services,Management,Data Architect
90,87,73,76,64,83,69,7,4,no,no,hacking,Testing and Maintainance Services,Technical,Business Intelligence Analyst
76,81,77,82,79,85,92,9,8,no,yes,parallel computing,Web Services,Technical,UX Designer
73,69,78,75,90,65,86,4,3,no,yes,Computer Architecture,Product based,Technical,Portal Administrator
92,68,75,66,79,88,92,8,4,no,yes,hacking,BPA,Technical,Database Administrator
88,62,78,61,69,62,86,4,2,yes,yes,data engineering,Service Based,Technical,Network Security Engineer
69,72,80,78,92,91,76,2,3,no,yes,Software Engineering,BPA,Technical,Applications Developer
84,65,76,72,91,91,61,8,5,no,no,hacking,Product based,Technical,Software Quality Assurance (QA) / Testing
89,80,70,60,60,72,88,9,9,no,yes,hacking,Product based,Management,Database Manager
89,65,86,78,70,70,65,7,7,no,no,IOT,Cloud Services,Technical,Portal Administrator
67,63,70,78,80,64,94,8,1,yes,yes,programming,BPA,Technical,Software Developer
91,87,73,64,65,66,74,6,6,no,yes,parallel computing,Testing and Maintainance Services,Technical,CRM Business Analyst
94,67,72,81,90,93,93,9,5,no,no,Software Engineering,Finance,Management,Database Developer
80,66,67,62,89,91,87,8,5,yes,yes,Software Engineering,Testing and Maintainance Services,Management,Software Quality Assurance (QA) / Testing
72,72,67,80,68,72,87,2,6,yes,yes,Management,Cloud Services,Technical,Software Quality Assurance (QA) / Testing
65,82,71,92,69,71,68,1,2,yes,yes,hacking,Service Based,Technical,UX Designer
79,68,69,70,91,91,77,4,4,yes,yes,parallel computing,Service Based,Management,Network Security Administrator
91,65,84,76,81,77,75,1,4,yes,yes,networks,Finance,Management,Business Systems Analyst
81,66,79,77,90,64,87,7,1,yes,yes,parallel computing,Testing and Maintainance Services,Technical,CRM Technical Developer
86,65,85,61,79,75,69,3,7,yes,no,data engineering,Web Services,Management,Project Manager
91,80,79,78,82,71,89,7,8,no,yes,Software Engineering,Product based,Technical,Technical Support
60,81,64,73,74,86,86,7,1,no,no,hacking,product development,Technical,Systems Security Administrator
80,90,86,64,71,70,89,1,5,no,yes,Computer Architecture,BPA,Technical,UX Designer
89,63,83,87,69,71,74,6,8,no,yes,programming,Cloud Services,Management,Programmer Analyst
92,72,79,83,79,88,76,5,8,yes,no,data engineering,Sales and Marketing,Technical,Network Security Engineer
64,61,68,85,69,83,76,9,6,no,yes,Software Engineering,product development,Management,Database Manager
91,69,88,78,77,86,71,4,8,no,no,IOT,BPA,Management,Web Developer
67,93,75,85,94,92,87,6,2,yes,yes,networks,BPA,Management,Programmer Analyst
66,77,87,65,87,71,66,7,5,yes,yes,cloud computing,Cloud Services,Management,Applications Developer
80,78,60,91,80,75,80,7,3,no,yes,hacking,Service Based,Technical,Business Systems Analyst
94,90,69,64,67,86,94,7,9,yes,yes,hacking,Sales and Marketing,Technical,Business Intelligence Analyst
76,85,85,91,79,74,84,9,6,no,no,parallel computing,BPA,Management,Software Developer
77,73,82,70,78,73,76,7,5,no,yes,parallel computing,SAaS services,Technical,Network Engineer
89,78,75,62,86,76,93,8,9,no,yes,parallel computing,Sales and Marketing,Management,Information Technology Manager
93,89,80,80,86,94,66,8,3,no,yes,hacking,Web Services,Technical,Technical Engineer
93,60,82,77,79,74,73,4,9,yes,yes,data engineering,Finance,Technical,Web Developer
71,62,69,86,74,85,62,7,6,no,no,networks,SAaS services,Technical,Solutions Architect
92,87,88,61,67,87,82,4,3,no,no,IOT,Finance,Management,Business Intelligence Analyst
87,69,94,83,67,81,76,1,5,no,no,data engineering,Finance,Technical,Quality Assurance Associate
77,63,80,81,82,81,80,8,1,no,yes,hacking,Finance,Technical,Network Engineer
70,60,80,69,65,84,88,3,8,yes,no,Software Engineering,SAaS services,Management,Mobile Applications Developer
91,67,92,74,93,88,80,1,9,yes,no,networks,product development,Technical,Network Security Administrator
65,78,66,81,84,72,90,6,6,no,yes,IOT,SAaS services,Technical,Software Engineer
60,74,89,82,61,76,69,4,1,no,yes,cloud computing,Sales and Marketing,Management,Portal Administrator
61,60,90,93,77,82,68,4,2,yes,no,cloud computing,Cloud Services,Management,Programmer Analyst
87,71,81,94,79,77,75,1,9,no,no,Computer Architecture,product development,Technical,Software Engineer
90,64,60,88,60,62,88,8,8,no,no,Management,Cloud Services,Technical,Information Technology Auditor
61,68,67,69,91,69,66,9,9,no,no,cloud computing,SAaS services,Management,Information Technology Auditor
76,60,90,64,71,69,63,2,1,no,no,Computer Architecture,product development,Management,Information Security Analyst
92,74,60,65,92,92,94,1,4,no,yes,parallel computing,BPA,Technical,CRM Technical Developer
77,71,74,61,76,67,88,5,7,yes,yes,parallel computing,Testing and Maintainance Services,Management,Database Developer
72,71,92,81,77,93,88,7,2,yes,yes,IOT,Sales and Marketing,Technical,Database Developer
64,65,88,83,87,64,67,3,8,no,no,Computer Architecture,product development,Technical,Software Engineer
69,73,89,94,74,70,73,4,2,yes,yes,cloud computing,Finance,Technical,UX Designer
64,93,85,70,80,89,67,7,6,yes,no,cloud computing,product development,Technical,Technical Engineer
73,65,79,70,66,73,71,8,9,yes,yes,data engineering,Product based,Technical,CRM Business Analyst
74,91,88,82,82,77,66,3,9,no,yes,parallel computing,Testing and Maintainance Services,Management,Database Developer
60,92,79,85,69,72,66,4,9,no,no,Software Engineering,SAaS services,Technical,CRM Technical Developer
90,61,91,76,75,85,90,7,8,no,yes,networks,Service Based,Management,Network Engineer
63,87,62,83,76,94,89,4,7,yes,yes,Management,Finance,Technical,Solutions Architect
63,91,72,72,92,85,62,7,7,yes,no,programming,Product based,Management,Network Security Engineer
67,91,71,78,75,81,65,5,3,no,yes,IOT,Testing and Maintainance Services,Management,UX Designer
69,72,83,85,62,90,62,9,8,no,yes,Software Engineering,product development,Management,Project Manager
94,66,77,61,69,71,61,6,6,no,yes,data engineering,Sales and Marketing,Technical,Technical Services/Help Desk/Tech Support
88,90,92,89,73,84,67,8,5,no,no,cloud computing,Finance,Management,Network Security Administrator
71,74,82,85,83,62,62,8,8,no,yes,Software Engineering,Testing and Maintainance Services,Management,Information Technology Auditor
80,79,78,80,66,94,73,1,1,yes,no,programming,Cloud Services,Technical,Software Quality Assurance (QA) / Testing
62,92,82,70,79,60,88,3,1,yes,no,hacking,Finance,Management,Database Administrator
86,67,76,75,81,61,86,9,9,yes,yes,cloud computing,Cloud Services,Technical,Applications Developer
72,65,71,81,76,76,71,1,2,no,yes,parallel computing,Service Based,Management,Database Manager
67,84,73,69,94,67,92,6,3,no,yes,hacking,BPA,Management,Portal Administrator
61,64,72,67,85,94,92,7,6,no,no,Software Engineering,Sales and Marketing,Technical,Project Manager
71,71,83,77,73,61,86,6,9,no,yes,Computer Architecture,Product based,Management,Systems Security Administrator
83,88,74,63,79,73,73,2,3,yes,no,networks,Testing and Maintainance Services,Management,Data Architect
81,89,65,94,85,74,84,6,3,yes,no,hacking,SAaS services,Technical,Information Technology Manager
83,65,84,80,82,91,69,2,2,no,no,parallel computing,BPA,Management,Systems Security Administrator
64,86,65,67,69,74,66,8,2,no,yes,Software Engineering,Product based,Management,Systems Security Administrator
66,72,72,70,61,86,78,3,3,no,no,Software Engineering,SAaS services,Technical,Network Security Administrator
83,81,61,81,79,63,61,1,6,yes,yes,parallel computing,Cloud Services,Technical,Database Administrator
71,89,91,88,84,78,89,8,9,yes,no,cloud computing,BPA,Management,Network Engineer
93,81,63,85,66,82,67,4,6,no,yes,programming,Service Based,Technical,Systems Analyst
75,66,85,74,74,93,72,4,5,no,yes,Management,Testing and Maintainance Services,Technical,CRM Business Analyst
69,92,80,85,86,73,88,8,2,no,yes,Software Engineering,Web Services,Technical,Network Security Administrator
71,75,79,83,75,74,61,6,8,no,yes,networks,BPA,Technical,CRM Technical Developer
62,75,67,63,89,80,65,5,9,no,no,networks,Web Services,Technical,Systems Security Administrator
73,74,92,71,67,85,93,2,4,yes,no,data engineering,product development,Management,Software Quality Assurance (QA) / Testing
73,68,82,88,61,91,71,3,2,yes,no,hacking,Service Based,Management,Business Systems Analyst
85,67,68,60,80,68,87,7,4,yes,yes,networks,product development,Management,Information Technology Manager
81,82,83,86,70,72,93,9,3,yes,yes,networks,Sales and Marketing,Technical,Information Technology Manager
88,74,83,80,71,85,89,8,4,yes,yes,parallel computing,Cloud Services,Management,UX Designer
82,66,89,70,72,70,91,7,5,no,yes,Computer Architecture,Service Based,Management,CRM Business Analyst
81,80,70,90,88,75,91,5,9,yes,no,Software Engineering,Product based,Technical,CRM Technical Developer
64,61,63,84,63,82,66,8,1,yes,no,hacking,Service Based,Technical,Information Technology Auditor
67,90,66,63,87,90,91,9,7,yes,no,cloud computing,product development,Technical,Database Developer
86,86,62,62,60,79,90,7,8,no,no,Management,BPA,Management,E-Commerce Analyst
68,86,73,88,94,80,63,7,4,no,yes,hacking,product development,Management,Systems Security Administrator
63,78,92,84,89,66,75,1,2,yes,yes,data engineering,Sales and Marketing,Management,Information Security Analyst
66,67,77,90,70,85,92,8,1,yes,no,data engineering,SAaS services,Management,Database Developer
62,78,75,82,69,71,74,3,4,yes,no,hacking,Finance,Management,Information Security Analyst
64,84,90,86,83,94,83,4,2,no,yes,cloud computing,Finance,Technical,Network Security Administrator
